time,epoch,num_iter,loss
11-13_01:05,80,4519,0.2569256868213414
11-13_01:05,81,4555,0.2500158317387104
11-13_01:06,81,4575,0.2495638061314821
11-13_01:07,82,4611,0.260997199267149
11-13_01:07,82,4631,0.25959431827068324
11-13_01:08,83,4667,0.26513845846056944
11-13_01:08,83,4687,0.2585627716034651
11-13_01:09,84,4723,0.2524079203605652
11-13_01:09,84,4743,0.2550498295575381
11-13_01:10,85,4779,0.2464756265282631
11-13_01:11,85,4799,0.25135753042995934
11-13_01:11,86,4835,0.25049597471952434
11-13_01:12,86,4855,0.24977294839918612
11-13_01:13,87,4891,0.25633054226636887
11-13_01:13,87,4911,0.25669341497123244
11-13_01:14,88,4947,0.24246347323060036
11-13_01:14,88,4967,0.24590700007975103
11-13_01:15,89,5003,0.24655115306377412
11-13_01:16,89,5023,0.24529244415462018
11-13_01:16,90,5059,0.26351771429181103
11-13_01:17,90,5079,0.25487039275467394
11-13_01:18,91,5115,0.24297554641962052
11-13_01:18,91,5135,0.24542549885809417
11-13_01:19,92,5171,0.2607450641691685
11-13_01:19,92,5191,0.25170101113617427
11-13_01:20,93,5227,0.24359999746084213
11-13_01:20,93,5247,0.24790470004081722
11-13_01:21,94,5283,0.25526568442583086
11-13_01:21,94,5303,0.2492841273546219
11-13_01:22,95,5339,0.24950377792119982
11-13_01:22,95,5359,0.2484689306467772
11-13_01:23,96,5395,0.24055709838867184
11-13_01:24,96,5415,0.23930905200541017
11-13_01:24,97,5451,0.24457101672887802
11-13_01:25,97,5471,0.2425920318812132
11-13_01:26,98,5507,0.24419974535703662
11-13_01:26,98,5527,0.24508537240326406
11-13_01:27,99,5563,0.24912665486335753
11-13_01:27,99,5583,0.2511960338801146
