time,epoch,acc_train,acc_val,lr,loss_train
11-13_00:58,74,87.73200224971879,89.32939687895403,0.00015772644703565563,0.264745018045817
11-13_00:59,75,87.5984251968504,89.64571910586251,0.00014644660940672628,0.2675168075199639
11-13_01:00,76,88.15382452193475,89.03416280050611,0.00013551568628929433,0.2656013875135353
11-13_01:01,77,88.40691788526435,89.39266132433572,0.0001249444651847702,0.26190656051039696
11-13_01:03,78,88.08352080989876,89.62463095740193,0.00011474337861210544,0.2652153239718505
11-13_01:04,79,88.35067491563555,89.43483762125685,0.00010492249381215479,0.2566922421434097
11-13_01:05,80,88.60376827896513,89.43483762125685,9.549150281252633e-05,0.25678724795579905
11-13_01:06,81,88.11867266591676,89.51919021509912,8.645971286271914e-05,0.25559566409460127
11-13_01:07,82,88.39285714285714,89.43483762125685,7.783603724899258e-05,0.25760589566613945
11-13_01:09,83,88.29443194600675,89.60354280894137,6.962898649802813e-05,0.2607080026396684
11-13_01:10,84,88.51940382452193,89.62463095740193,6.184665997806821e-05,0.25274299670542993
11-13_01:11,85,88.39285714285714,89.41374947279628,5.449673790581611e-05,0.2503680469734329
11-13_01:12,86,88.62485939257593,89.30830873049347,4.758647376699032e-05,0.25258528095270905
11-13_01:14,87,88.56158605174353,89.81442429354702,4.112268715800954e-05,0.253498065684523
11-13_01:15,88,88.92013498312711,89.56136651202024,3.5111757055874326e-05,0.24573091763470856
11-13_01:16,89,89.0466816647919,89.56136651202024,2.9559615522887274e-05,0.2438863909670285
11-13_01:17,90,88.56861642294713,89.49810206663855,2.4471741852423235e-05,0.253759390009301
11-13_01:18,91,88.8920134983127,89.51919021509912,1.9853157161528523e-05,0.2469917261706931
11-13_01:20,92,88.80061867266592,89.54027836355968,1.5708419435684518e-05,0.2500262228505952
11-13_01:21,93,88.62485939257593,89.62463095740193,1.2041619030626338e-05,0.2495404072105884
11-13_01:22,94,89.0607424071991,89.68789540278364,8.856374635655639e-06,0.24636375451726578
11-13_01:23,95,88.9482564679415,89.68789540278364,6.15582970243117e-06,0.24842132468308728
11-13_01:24,96,89.24353205849269,89.64571910586251,3.942649342761117e-06,0.2417085460786309
11-13_01:25,97,89.25759280089989,89.64571910586251,2.219017698460002e-06,0.24450044812900681
11-13_01:26,98,88.9482564679415,89.66680725432307,9.866357858642206e-07,0.24613226923559392
11-13_01:28,99,88.81467941507312,89.66680725432307,2.467198171342e-07,0.24881123112780718
