time,epoch,acc_train,acc_val,lr,loss_train
11-13_12:27,0,56.77024746906637,64.71952762547448,0.001,2.069544910714867
11-13_12:32,1,60.8830146231721,59.65837199493885,0.0009997532801828658,0.717119365126899
11-13_12:37,2,61.051743532058495,66.02699283002953,0.0009990133642141358,0.6696637637159797
11-13_12:42,3,64.25056242969629,70.81400253057781,0.00099778098230154,0.6479642276683548
11-13_12:47,4,64.66535433070867,72.24799662589625,0.000996057350657239,0.6512720846058273
11-13_12:52,5,67.1681664791901,73.11261071277941,0.0009938441702975688,0.6168371937917859
11-13_12:57,6,67.61107986501688,72.7541121889498,0.0009911436253643444,0.719692263241565
11-13_13:02,7,67.59701912260968,74.86292703500632,0.0009879583809693738,0.6123465585574677
11-13_13:07,8,68.28599550056244,74.46225221425559,0.0009842915805643156,0.5952330003963421
11-13_13:12,9,69.10854893138358,74.67313369886124,0.0009801468428384716,0.5904065421458043
11-13_13:17,10,68.75,75.64318852804723,0.0009755282581475768,0.5899715986814388
11-13_13:22,11,70.02249718785151,76.2758329818642,0.0009704403844771128,0.5733369846022525
11-13_13:27,12,70.44431946006749,75.43230704344158,0.0009648882429441257,0.5692588137776662
11-13_13:32,13,71.03487064116986,73.82960776043863,0.0009588773128419905,0.5904532256421074
11-13_13:37,14,71.14032620922384,77.77309152256431,0.0009524135262330098,0.5564433106545651
11-13_13:42,15,71.33014623172103,77.35132855335301,0.0009455032620941839,0.5615874830926406
11-13_13:47,16,71.8785151856018,78.32138338253901,0.0009381533400219318,0.5507847497302498
11-13_13:52,17,72.37767154105737,74.50442851117671,0.0009303710135019718,0.5403958718428451
11-13_13:57,18,72.17379077615298,76.50780261493041,0.0009221639627510075,0.5479942629846289
11-13_14:02,19,73.25646794150731,79.27035006326444,0.0009135402871372809,0.5314581826831516
11-13_14:07,20,73.04555680539933,80.02952340784479,0.0009045084971874737,0.5317700089363575
11-13_14:12,21,73.82592800899887,81.16828342471531,0.0008950775061878451,0.5183080010869529
11-13_14:17,22,73.86811023622047,79.37579080556728,0.0008852566213878947,0.6965952787506446
11-13_14:22,23,74.57114735658043,81.67439898776887,0.0008750555348152298,0.504719630185138
11-13_14:27,24,75.95613048368953,81.80092787853226,0.0008644843137107057,0.49740916952658204
11-13_14:32,25,75.29527559055119,81.84310417545339,0.0008535533905932737,0.49788562601871666
11-13_14:37,26,75.94910011248594,81.82201602699283,0.0008422735529643444,0.4998654275128015
11-13_14:42,27,76.31467941507312,82.6233656684943,0.0008306559326618259,0.4858002031117344
11-13_14:47,28,76.5185601799775,82.96077604386335,0.0008187119948743449,0.48233292816060325
11-13_14:52,29,76.6661979752531,83.82539013074653,0.0008064535268264883,0.4760423907068338
11-13_14:57,30,76.96850393700787,81.46351750316322,0.0007938926261462367,0.46994919097155663
11-13_15:02,31,77.50281214848144,83.36145086461408,0.0007810416889260654,0.48424573718162023
11-13_15:07,32,77.73481439820023,85.11176718684099,0.0007679133974894983,0.45701467796657896
11-13_15:12,33,78.91591676040495,83.19274567692956,0.0007545207078751857,0.44835176293769585
11-13_15:17,34,78.70500562429696,84.66891606916913,0.0007408768370508576,0.4474260965090117
11-13_15:22,35,78.73312710911136,83.48797975537748,0.0007269952498697733,0.4411643388231147
11-13_15:27,36,78.83858267716535,84.77435681147195,0.0007128896457825364,0.4377009657661568
11-13_15:32,37,79.31664791901012,83.90974272458878,0.0006985739453173903,0.4352019370271917
11-13_15:37,38,79.46428571428571,85.68114719527625,0.0006840622763423391,0.4290994910711653
11-13_15:42,39,79.86501687289089,85.30156052298608,0.0006693689601226458,0.42097660909208023
11-13_15:47,40,80.28683914510687,83.82539013074653,0.0006545084971874737,0.42260566383935083
11-13_15:52,41,80.45556805399325,86.22943905525095,0.0006394955530196147,0.4119245651397813
11-13_15:57,42,80.68757030371204,86.65120202446225,0.0006243449435824273,0.4121311219890467
11-13_16:02,43,80.80005624296963,85.84985238296078,0.0006090716206982714,0.4012949115774604
11-13_16:07,44,81.67182227221598,86.71446646984394,0.0005936906572928624,0.39456293626447725
11-13_16:12,45,81.52418447694038,85.66005904681569,0.0005782172325201155,0.3955763255947092
11-13_16:17,46,81.74915635545557,86.52467313369885,0.0005626666167821522,0.3918140683616146
11-13_16:22,47,82.22722159730034,87.11514129059469,0.0005470541566592571,0.3861510103338222
11-13_16:27,48,81.93194600674916,88.02193167439899,0.0005313952597646568,0.38529335601945924
11-13_16:32,49,82.29752530933634,87.87431463517503,0.0005157053795390641,0.37913329916053967
11-13_16:37,50,82.6490438695163,87.15731758751582,0.0005,0.37686616637733533
11-13_16:42,51,82.50140607424072,87.3471109236609,0.00048429462046093585,0.37677416690949644
11-13_16:47,52,82.48031496062993,88.16954871362294,0.0004686047402353433,0.3728898956869425
11-13_16:52,53,83.76687289088864,87.45255166596372,0.00045294584334074284,0.3608906494600049
11-13_16:57,54,83.52080989876265,86.29270350063264,0.00043733338321784795,0.3583430114756806
11-13_17:02,55,83.61923509561305,87.66343315056938,0.0004217827674798846,0.35773825056097447
11-13_17:07,56,83.68250843644545,86.71446646984394,0.0004063093427071377,0.3532279018605693
11-13_17:12,57,83.70359955005624,87.78996204133277,0.0003909283793017289,0.3526794749699282
11-13_17:17,58,83.96372328458942,87.43146351750316,0.00037565505641757257,0.3504366764191827
11-13_17:22,59,83.89341957255343,87.26275832981864,0.0003605044469803854,0.34995799968751634
11-13_17:27,60,84.52615298087738,89.05525094896669,0.00034549150281252644,0.3826070158334259
11-13_17:32,61,85.01827896512935,89.18177983973007,0.0003306310398773543,0.33392823922835024
11-13_17:37,62,84.4910011248594,89.01307465204555,0.00031593772365766116,0.3339995840794587
11-13_17:42,63,84.78627671541058,88.46478279207085,0.00030142605468260966,0.3369056959835328
11-13_17:47,64,84.58942632170978,89.26613243357234,0.00028711035421746366,0.3391258309898752
11-13_17:52,65,84.79330708661418,88.42260649514972,0.00027300475013022663,0.3339959587608831
11-13_17:57,66,84.58942632170978,88.2539013074652,0.0002591231629491423,0.3366557725862175
